type	latitude	longitude	altitude (m)
T	45.465059500	-73.596383300	20.9		
T	45.465040300	-73.596412500	20.9		
T	45.465008100	-73.596459600	20.9		
T	45.464757300	-73.596827300	20.9		
T	45.464627200	-73.597016600	20.9		
T	45.464554300	-73.597126300	20.9		
T	45.464504800	-73.597200800	20.9		
T	45.464381100	-73.597387000	20.8		
T	45.464257400	-73.597573100	20.9		
T	45.464208500	-73.597646700	20.9		
T	45.464015900	-73.597953200	20.9		
T	45.463896700	-73.598142900	20.9		
T	45.463895900	-73.598144300	20.9		
T	45.463780200	-73.598340600	20.9		
T	45.463721200	-73.598440600	20.9		
T	45.463666900	-73.598539800	21.0		
T	45.463556300	-73.598742000	20.8		
T	45.463485900	-73.598870800	20.8		
T	45.463341800	-73.599153600	21.0		
T	45.463260100	-73.599314100	20.8		
T	45.463237800	-73.599362800	20.8		
T	45.463172800	-73.599504600	20.9		
T	45.463058000	-73.599765700	20.9		
T	45.463044700	-73.599795500	20.9		
T	45.462836600	-73.600279200	20.9		
T	45.462707100	-73.600602000	20.8		
T	45.462569900	-73.600949400	20.9		
T	45.462496000	-73.601143400	20.9		
T	45.462444300	-73.601279000	20.8		
T	45.462411000	-73.601369400	20.9		
T	45.462356000	-73.601518400	20.9		
T	45.462323500	-73.601593300	20.9		
T	45.462283100	-73.601686600	20.9		
T	45.462225100	-73.601807900	20.9		
T	45.462198700	-73.601863000	20.9		
T	45.462047100	-73.602189900	20.9		
T	45.461839400	-73.602673600	20.8		
T	45.461795800	-73.602775300	20.9		
T	45.461745300	-73.602892100	20.9		
T	45.461709900	-73.602973800	20.9		
T	45.461556800	-73.603329000	20.8		
T	45.461459300	-73.603557100	20.8		
T	45.461356400	-73.603818900	20.8		
T	45.461292300	-73.603999200	20.9		
T	45.461251200	-73.604117300	20.9		
T	45.461210600	-73.604229200	20.9		
T	45.461141500	-73.604446700	20.9		
T	45.461137500	-73.604461900	20.9		
T	45.461105100	-73.604587500	20.8		
T	45.461089700	-73.604661400	20.7		
T	45.461078200	-73.604820100	20.5		
T	45.461057100	-73.604910300	20.6		
T	45.461036000	-73.604977300	20.7		
T	45.460986100	-73.605097700	20.9		
T	45.460763800	-73.605611100	20.7		
T	45.460726100	-73.605698100	20.8		
T	45.460695400	-73.605784300	20.8		
T	45.460603000	-73.606069200	20.7		
T	45.460527400	-73.606302000	20.8		
T	45.460451900	-73.606534700	20.9		
T	45.460349100	-73.606851100	21.0		
T	45.460236900	-73.607201300	20.8		
T	45.460226600	-73.607233600	20.8		
T	45.460154400	-73.607459800	20.9		
T	45.460152800	-73.607467500	20.9		
T	45.460106400	-73.607692300	21.0		
T	45.460068000	-73.607868700	21.0		
T	45.460045200	-73.607956800	20.8		
T	45.460018600	-73.608059800	20.6		
T	45.459978400	-73.608194700	20.5		
T	45.459977500	-73.608197700	20.5		
T	45.459827600	-73.608657700	20.7		
T	45.459753900	-73.608900700	20.7		
T	45.459691100	-73.609112700	20.8		
T	45.459593200	-73.609393600	20.9		
T	45.459442100	-73.609850200	20.9		
T	45.459359900	-73.610131100	20.8		
