lat,long,altitude,Dlat,Dlong,Daltitude,position,distance,direction,Dposition,slope,TMY_GridID,Horizon_GridID,timezone
45.49709,-73.52218,9.6,-8.000000000407681e-05,-2.5000000000829917e-05,0.0,1920.545820642316,1920.614442498984,-1.873681195164811,6.876867280647616,0.0,182;-295,54597;-88227,America/Toronto
45.49707,-73.52227,9.6,-5.499999999614147e-05,-9.999999999621425e-06,0.0,1927.904648883847,1927.9732707405144,-1.7506498265930592,4.458830219218953,0.0,182;-295,54597;-88227,America/Toronto
45.49707,-73.52229,9.6,-7.999999999697138e-05,-5.000000001587068e-06,0.0,1929.4634810807536,1929.532102937421,-1.633215136812972,6.263583891114877,0.0,182;-295,54597;-88227,America/Toronto
45.49706,-73.52243,9.6,-7.500000000248974e-05,-5.000000001587068e-06,0.0,1940.4318166660769,1940.5004385227444,-1.6373644905895843,5.873875911343475,0.0,182;-295,54597;-88227,America/Toronto
45.49706,-73.52244,9.6,-0.0001099999999993,9.999999999621425e-06,0.0,1941.2112329034408,1941.2798547601085,-1.4801364395970635,8.64877244838624,0.0,182;-295,54597;-88227,America/Toronto
45.49708,-73.52265,9.6,-0.0001649999999955,2.000000000279556e-05,0.0,1957.729361562849,1957.7979834195169,-1.4501726581948602,13.065938159746338,0.0,182;-295,54597;-88228,America/Toronto
45.4971,-73.52277,9.6,-0.0001150000000009,2.000000000279556e-05,0.0499999999999998,1967.3431092229332,1967.4117310796007,-1.3986055122497938,9.235526117897848,0.0054138238438493,182;-295,54597;-88228,America/Toronto
45.49712,-73.52288,9.7,-7.000000000090267e-05,9.999999999621425e-06,0.0499999999999998,1976.2004137986448,1976.2696001431468,-1.4288992721978382,5.597775397672308,0.0089318821851496,182;-295,54597;-88228,America/Toronto
45.49712,-73.52291,9.7,-0.0001949999999979,3.999999999848569e-05,-0.0499999999999998,1978.538660018278,1978.60784636278,-1.3684746984219724,15.88676059087402,-0.0031472643290623,182;-295,54597;-88228,America/Toronto
45.4972,-73.52327,9.6,-0.0002850000000051,5.999999999772854e-05,-0.1499999999999994,2007.9739349803929,2008.043291188624,-1.3633001003710024,23.198267191930995,-0.0064659100765375,182;-295,54597;-88228,America/Toronto
45.49724,-73.52348,9.4,-0.0001299999999986,2.5000000000829917e-05,-0.0999999999999996,2024.93519440214,2025.0057297271069,-1.380808038868072,10.506930105094511,-0.0095172404993022,182;-295,54597;-88229,America/Toronto
45.49725,-73.52353,9.4,-6.49999999993156e-05,1.5000000001208493e-05,0.0499999999999998,2028.987795190582,2029.0583305155485,-1.3439974787210516,5.336315026035209,0.009369487488258,182;-295,54597;-88229,America/Toronto
45.49727,-73.52361,9.5,-8.000000000407681e-05,1.999999999924285e-05,0.0499999999999998,2035.6078244542105,2035.6791150197669,-1.3258176636889307,6.620028220191102,0.0075526942806737,182;-295,54597;-88229,America/Toronto
45.49729,-73.52369,9.5,-4.99999999945544e-05,1.5000000001208493e-05,0.0499999999999998,2042.227851630964,2042.2991421965205,-1.2793395322648795,4.267401907227281,0.011716194828997,182;-295,54597;-88229,America/Toronto
45.4973,-73.52371,9.6,-8.499999999855845e-05,2.5000000000829917e-05,0.0999999999999996,2044.142628268665,2044.216528326721,-1.284744885064001,7.211723065176898,0.0138654231010028,182;-295,54597;-88229,America/Toronto
45.49734,-73.52386,9.7,-0.0001400000000018,3.999999999848569e-05,0.0499999999999998,2056.651297761318,2056.725597535756,-1.2924966678031915,11.787136007368758,0.0042418870941123,182;-295,54597;-88229,America/Toronto
45.49738,-73.52399,9.7,-0.000124999999997,4.500000000007276e-05,-0.0999999999999996,2067.7169002834025,2067.791200057841,-1.225240746205133,10.973118806270122,-0.0091129271056636,182;-295,54597;-88229,America/Toronto
45.49743,-73.52411,9.5,-0.0001250000000041,5.000000000165983e-05,-0.1999999999999993,2078.597535373858,2078.673673121058,-1.1902899496825317,11.219052123993606,-0.0178249299019265,182;-295,54597;-88229,America/Toronto
45.49748,-73.52424,9.3,-0.0001550000000065,6.49999999993156e-05,-0.0999999999999996,2090.1550045313897,2090.2328726317205,-1.1737168815887782,14.084681733542991,-0.0070997926435937,182;-295,54597;-88230,America/Toronto
45.49756,-73.52442,9.3,-0.000204999999994,0.0001049999999978,0.0,2106.766898840944,2106.844766941275,-1.0974402849566331,19.82020413147825,0.0,182;-295,54598;-88230,America/Toronto
45.49769,-73.52465,9.3,-0.0003199999999949,0.0001800000000002,0.0,2129.7954127943462,2129.873280894677,-1.0584068664767794,31.979075599548423,0.0,182;-295,54598;-88230,America/Toronto
45.49792,-73.52506,9.3,-0.0002350000000035,0.0001350000000002,-0.0500000000000007,2170.725050040041,2170.802918140372,-1.0493618870289572,23.69173058871479,-0.0021104378838128,182;-295,54598;-88231,America/Toronto
45.49796,-73.52512,9.2,-0.0005000000000023,0.0003449999999993,0.0499999999999998,2177.178873971776,2177.2575167601026,-0.9668133485449796,54.684338260063214,0.0009143383216715,182;-295,54598;-88231,America/Toronto
45.49861,-73.52606,9.4,-0.000479999999996,0.0003650000000021,0.25,2280.0937265601674,2280.17256368372,-0.9206618161200344,55.9729942655888,0.0044664099335134,182;-295,54599;-88232,America/Toronto
45.49869,-73.52608,9.7,1.0000000003174137e-05,7.000000000090267e-05,0.25,2289.1248625029534,2289.2086810145806,0.1418970546467965,8.197645639395205,0.0304871118930092,182;-295,54599;-88232,America/Toronto
45.49875,-73.52604,9.9,5.999999999772854e-05,0.0001049999999978,0.0500000000000007,2296.489017838958,2296.5755517079483,0.5191461142392353,12.585362387201712,0.0039728484093416,182;-295,54599;-88232,America/Toronto
45.4989,-73.52596,9.8,4.99999999945544e-05,9.999999999976694e-05,-0.0499999999999998,2314.295587277357,2314.382401939377,0.4636476089581735,11.79034970805833,-0.004240730894987,182;-295,54599;-88232,America/Toronto
45.49895,-73.52594,9.8,9.999999996068707e-06,3.500000000045134e-05,0.0,2320.0697172550745,2320.1565319170945,0.2782996588978596,3.999014255103475,0.0,182;-295,54599;-88232,America/Toronto
45.49897,-73.52594,9.8,0.0,3.500000000045134e-05,0.0,2322.293615787564,2322.380430449584,0.0,3.891822432386789,0.0,182;-295,54599;-88232,America/Toronto
45.49902,-73.52594,9.8,-4.999999994481641e-06,6.49999999993156e-05,0.0,2327.853362119848,2327.940176781868,-0.0767718911861847,7.244709150435028,0.0,182;-295,54599;-88232,America/Toronto
45.4991,-73.52595,9.8,-9.999999996068707e-06,5.999999999772854e-05,0.0,2336.783034088434,2336.869848750454,-0.1651486773570152,6.722619408413266,0.0,182;-295,54599;-88232,America/Toronto
45.49914,-73.52596,9.8,-1.0000000003174137e-05,3.500000000045134e-05,0.0,2341.2986009366746,2341.385415598694,-0.2782996590855501,3.970626456306036,0.0,182;-295,54599;-88232,America/Toronto
45.49917,-73.52597,9.8,-9.50000000017326e-05,9.999999999976694e-05,0.0499999999999998,2344.724287001046,2344.811101663066,-0.7597627548860415,13.48293136048892,0.003708375386788,182;-295,54600;-88232,America/Toronto
45.49934,-73.52615,9.9,-0.000124999999997,0.0001150000000009,0.1499999999999994,2368.2644636576524,2368.351490721538,-0.827040742480028,16.079266724122363,0.0093285130155828,182;-295,54600;-88232,America/Toronto
45.4994,-73.52622,10.1,-0.000160000000001,0.0001500000000014,0.4500000000000002,2376.88282044929,2376.972167828818,-0.817645045831225,20.830620713377584,0.0215994532067673,182;-295,54600;-88232,America/Toronto
45.49964,-73.52647,10.8,-0.0001350000000002,0.0001299999999986,0.3500000000000005,2409.925705084408,2410.0224662391142,-0.8042638494251878,17.879332209185804,0.0195731752557558,182;-295,54600;-88232,America/Toronto
